REGION,SURROGATE,SURROGATE CODE,GENERATE,QUALITY ASSURANCE,PG SCRIPT
USA,Population,100,NO,NO,template_polygon_noFF_withWA.csh
USA,Housing,110,NO,NO,template_polygon_noFF_withWA.csh
USA,Urban Housing,131,NO,NO,template_polygon_withFF_noWA.csh
USA,Suburban Housing,132,NO,NO,template_polygon_withFF_noWA.csh
USA,Rural Housing,134,NO,NO,template_polygon_withFF_noWA.csh
USA,Housing Change,137,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - Natural Gas,150,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - Wood,160,NO,NO,template_polygon_noFF_withWA.csh
#USA,0.5 Residential Heating - Wood plus 0.5 Low Intensity Residential,165,NO,NO,
USA,Residential Heating - Distillate Oil,170,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - Coal,180,NO,NO,template_polygon_noFF_withWA.csh
USA,Residential Heating - LP Gas,190,NO,NO,template_polygon_noFF_withWA.csh
USA,Urban Restricted Road Miles,201,NO,NO,template_line_withFF.csh
USA,Urban Restricted AADT,202,NO,NO,template_line_withFF.csh
USA,Extended Idle Locations,205,YES,YES,template_point_withFF_withWA.csh
USA,Rural Restricted Road Miles,211,NO,NO,template_line_withFF.csh
USA,Rural Restricted AADT,212,NO,NO,template_line_withFF.csh
USA,Urban Unrestricted Road Miles,221,NO,NO,template_line_withFF.csh
USA,Urban Unrestricted AADT,222,NO,NO,template_line_withFF.csh
USA,Rural Unrestricted Road Miles,231,NO,NO,template_line_withFF.csh
USA,Rural Unrestricted AADT,232,NO,NO,template_line_withFF.csh
USA,Total Road AADT,239,NO,NO,template_line_withFF.csh
USA,Total Road Miles,240,NO,NO,template_line_withFF.csh
USA,Total Restricted Road Miles,241,NO,NO,template_line_withFF.csh
USA,All Restricted AADT,242,NO,NO,template_line_withFF.csh
USA,Total Unrestricted Road Miles,243,NO,NO,template_line_withFF.csh
USA,All Unrestricted AADT,244,NO,NO,template_line_withFF.csh
USA,Intercity Bus Terminals,258,NO,NO,template_point_withFF_noWA.csh
USA,Transit Bus Terminals,259,NO,NO,template_point_withFF_noWA.csh
USA,Total Railroad Miles,260,NO,NO,template_noWF_noFF_noWA.csh
USA,NTAD Total Railroad Density,261,NO,NO,template_line_noWF_withFF_withWA.csh
USA,NTAD Class 1 2 3 Railroad Density,271,NO,NO,template_line_noWF_withFF_withWA.csh
USA,NTAD Amtrak Railroad Density,272,NO,NO,template_line_noWF_withFF_withWA.csh 
USA,NTAD Commuter Railroad Density,273,NO,NO,template_line_noWF_withFF_withWA.csh  
USA,ERTAC Rail Yards,275,NO,NO,template_point_noFF_withWA.csh
USA,Class 2 and 3 Railroad Miles,280,NO,NO,template_line_withFF.csh
USA,NLCD Low Intensity Development,300,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Med Intensity Development,301,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD High Intensity Development,302,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Open Space,303,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Open + Low,304,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Low + Med,305,NO,NO,template_polygon_withFF_noWA.csh
USA,NLCD Med + High,306,NO,NO,template_polygon_withFF_noWA.csh
